pid,label,description,year,medium,series_subject,image_size,frame_size,gallery_one,gallery_one_identifier,gallery_price,gallery_two,gallery_two_identifier,gallery_three,gallery_three_identifier,order,layout,collection,thumbnail,full,manifest
obj45,Lets Kill Moonlight for Marinetti,Tile letters read 'Uccidiamo Il Chiaro Di Luna' with a backdrop of a riverside mill lit by the moon. A reference to the title of the second manifesto of Italian Futurists authored by Filippo Tommaso Marinetti.,c. 2008,Mixed Media,Allusion to Artist,17 3/4 x 13 3/4,24 1/4 x 19 3/4,,,,,,,,189,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj45/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj45/full/1140,/0/default.jpg",/img/derivatives/iiif/obj45/manifest.json
obj46,Adam and Eve,"Hearts mask the faces of Adam and Eve as depicted in Albertus Durerus Noricus' Adam and Eve, 1504.",2018,Collage,Allusion to Artist,9 3/8 x 7 1/4,20 3/4 x 16 3/4,Alexander Gallery,VB 1,,,,,,190,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj46/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj46/full/1140,/0/default.jpg",/img/derivatives/iiif/obj46/manifest.json
obj47,Pollack's Palette,A large artist's palette nearly hidden within a canvas of smattered brushstrokes.,1999,Assemblage,Allusion to Artist,26 x 23,,Berry-Hill,VB 073,,,,,,191,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj47/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj47/full/1140,/0/default.jpg",/img/derivatives/iiif/obj47/manifest.json
obj48,Homage to Man Ray,"A butterfly descends toward a rose behind which an f hole of a violin appears through the wood backing. An allusion to Man Ray's Ingre's Violin, 1924.",2008,Assemblage,Allusion to Artist,14 1/2 x 19,19 1/2 x 24,,,,Berta Walker Gallery,,,,192,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj48_obj48_0/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj48_obj48_0/full/1140,/0/default.jpg",/img/derivatives/iiif/obj48/manifest.json
obj49,Vincent,The name Vincent spelled vertically 5 times and horizontally 3 times create the profile of a face next to an image of a right ear.,2006,Collage,Allusion to Artist,19 1/2 x 15 1/2,26 x 26,Lori Bookstein Fine Art,LBFA-4522,,Kent Fine Art,,,,193,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj49/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj49/full/1140,/0/default.jpg",/img/derivatives/iiif/obj49/manifest.json
obj5,Portrait,The branches of a tree extend from behind a skeletal cross section of a figure in profile.,c. 2012,Collage,Anatomical,11 1/2 x 9 1/2,20 1/4 x 16 3/8,,,,,,,,194,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj5/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj5/full/1140,/0/default.jpg",/img/derivatives/iiif/obj5/manifest.json
obj50,For Fats Waller,A hand clutching a quill summons spiders from an envelope. An allusion to Fats Waller's The Spider and the Fly.,2012,Collage,Allusion to Artist,12 x 9 3/8,18 x 15,,,,,,,,195,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj50/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj50/full/1140,/0/default.jpg",/img/derivatives/iiif/obj50/manifest.json
obj51,Untitled,Andrew Wyeth's legs from Trodden Weed steps upon flora through a forested landscape.,Unknown,Collage,Allusion to Artist,16 x 13 1/4,23 1/4 x 20 3/8,,,,,,,,196,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj51/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj51/full/1140,/0/default.jpg",/img/derivatives/iiif/obj51/manifest.json
obj52,Untitled,Two pairs of Andrew Wyeth's legs from Trodden Weed steps upon flora through a forested landscape.,Unknown,Collage,Allusion to Artist,15 3/4 x 13 1/8,24 5/8 x 21 3/4,,,,,,,,197,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj52/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj52/full/1140,/0/default.jpg",/img/derivatives/iiif/obj52/manifest.json
obj53,Untitled,Two pairs of Andrew Wyeth's legs from Trodden Weed steps upon flora through a forested landscape. A fish with a human's eye peers out from beneath one of the feet.,Unknown,Collage,Allusion to Artist,16 x 13,23 1/8 x 20 1/4,,,,,,,,198,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj53/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj53/full/1140,/0/default.jpg",/img/derivatives/iiif/obj53/manifest.json
obj54,Untitled,Two pairs of Andrew Wyeth's legs from Trodden Weed steps upon flora through a forested landscape.,Unknown,Collage,Allusion to Artist,16 x 13,24 5/8 x 21 3/4,,,,,,,,199,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj54/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj54/full/1140,/0/default.jpg",/img/derivatives/iiif/obj54/manifest.json
obj55,Untitled,Andrew Wyeth's legs from Trodden Weed stride past a shooting target.,Unknown,Collage,Allusion to Artist,14 1/2 x 14 1/4,16 7/8 x 20 7/8,,,,,,,,200,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj55/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj55/full/1140,/0/default.jpg",/img/derivatives/iiif/obj55/manifest.json
obj56,Untitled,Andrew Wyeth's legs from Trodden Weed stride steps upon a bouquet of roses below which is a skyline of building blocks.,Unknown,Assemblage,Allusion to Artist,26 1/8 x 26 1/8,28 1/8 x 18 1/8,,,,,,,,201,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj56/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj56/full/1140,/0/default.jpg",/img/derivatives/iiif/obj56/manifest.json
obj57,Still Life with Peach/Spanish Still Life (After Zurbaran),A peach lies next to an open pocket knife. A reference to the still life paintings Francisco de Zurbaran.,1993,Assemblage,Allusion to Artist,17 1/2 x 30 x 5,35 1/2 x 23,Alpha Gallery,2987,,Lori Bookstein,LBFA 3229,Berta Walker,1750,202,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj57/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj57/full/1140,/0/default.jpg",/img/derivatives/iiif/obj57/manifest.json
obj58,Homage Too Many,A girl and a woman are occupy different interior and exterior Victorian settings.,2008,Collage,Allusion to Artist,13 x 15,20 x 22,Lori Bookstein,LBFA-2998,,,,,,203,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj58/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj58/full/1140,/0/default.jpg",/img/derivatives/iiif/obj58/manifest.json
obj59,The 'Artist',Birds fly downward to a birdhouse.,Unknown,Collage,Animals,5 1/8 x 3 1/2,17 5/8 x 13 5/8,,,,,,,,204,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj59/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj59/full/1140,/0/default.jpg",/img/derivatives/iiif/obj59/manifest.json
obj6,Untitled,The forearm of a skeleton extends from within the spine of two pages holding an hourglass.,c. 2010 - 2018,Collage,Anatomical,12 1/4 x 19 3/4,13 1/2 x 21,,,,,,,,205,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj6/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj6/full/1140,/0/default.jpg",/img/derivatives/iiif/obj6/manifest.json
obj60,Orpheus Enchanting the Birds (6),The silhouette of a figure captivates birds perched upon branches.,2010,Collage,Animals,10 1/4 x 13 3/4,16 3/8 x 20,Berta Walker Gallery,,,,,,,206,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj60/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj60/full/1140,/0/default.jpg",/img/derivatives/iiif/obj60/manifest.json
obj61,Untitled,Two birds fly alongside an airship above farmland.,Unknown,Collage,Animals,4 1/2 x 7 1/2,12 3/4 x 15 1/2,,,,,,,,207,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj61/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj61/full/1140,/0/default.jpg",/img/derivatives/iiif/obj61/manifest.json
obj62,Passage,A red moth perches atop a human skull within the curve of a Trumpeter Swan's neck.,2011,Collage,Animals,11 x 19 1/4,12 5/8 x 21,Victoria Munroe Fine Art,,,,,,,208,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj62/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj62/full/1140,/0/default.jpg",/img/derivatives/iiif/obj62/manifest.json
obj63,In the Forest,Two swans nestle intertwined within a forest.,2011,Collage,Animals,15 3/8 x 25 1/4,18 1/2 x 28 1/2,,,,,,,,209,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj63/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj63/full/1140,/0/default.jpg",/img/derivatives/iiif/obj63/manifest.json
obj64,A Swan for Marcel,A swan swims amongst flowers upon a map of constellations.,2011,Collage,Animals,14 1/4 x 13 3/8,22 1/4 x 21 3/4,Victoria Munroe Fine Art,,,,,,,210,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj64/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj64/full/1140,/0/default.jpg",/img/derivatives/iiif/obj64/manifest.json
